Query_number,Doc_number
174249,352144
174249,114212
174249,415192
174249,327023
174249,203144
174249,48965
174249,426349
174249,430678
174249,221308
174249,211324
320792,85081
320792,378142
320792,34194
320792,100629
320792,54367
320792,103712
320792,112814
320792,14526
320792,331871
320792,107265
1090270,297862
1090270,377588
1090270,482756
1090270,35057
1090270,129716
1090270,392553
1090270,134062
1090270,163279
1090270,77675
1090270,185261
1101279,181746
1101279,158475
1101279,451734
1101279,240109
1101279,136297
1101279,1026
1101279,294806
1101279,1228
1101279,483285
1101279,494481
201376,418950
201376,268813
201376,215340
201376,450279
201376,182797
201376,440018
201376,402646
201376,23409
201376,288073
201376,487177
54544,52880
54544,44280
54544,75530
54544,292649
54544,380902
54544,293476
54544,283191
54544,114298
54544,245635
54544,283611
118457,186197
118457,183462
118457,1658
118457,457327
118457,269400
118457,247726
118457,418227
118457,170186
118457,84363
118457,377006
178627,320635
178627,460172
178627,27520
178627,30831
178627,278842
178627,451447
178627,367941
178627,479139
178627,239947
178627,50466
1101278,6739
1101278,384219
1101278,441777
1101278,330933
1101278,304377
1101278,391241
1101278,442178
1101278,499345
1101278,14785
1101278,204513
68095,373931
68095,369501
68095,335238
68095,164816
68095,69825
68095,171185
68095,200742
68095,117670
68095,321837
68095,205860
87892,176754
87892,278422
87892,452519
87892,106566
87892,330086
87892,168570
87892,136221
87892,111436
87892,394667
87892,376249
257309,221441
257309,420764
257309,36291
257309,464177
257309,18785
257309,481704
257309,5164
257309,123855
257309,926
257309,404973
1090242,147652
1090242,500552
1090242,340037
1090242,143004
1090242,175278
1090242,53465
1090242,193652
1090242,222199
1090242,282905
1090242,141623
211691,236631
211691,374362
211691,276176
211691,136899
211691,400841
211691,31940
211691,48080
211691,426211
211691,6378
211691,210013
165002,339641
165002,196817
165002,331450
165002,415837
165002,250117
165002,265670
165002,338670
165002,159085
165002,411059
165002,245256
1101276,117515
1101276,499368
1101276,497585
1101276,297420
1101276,226937
1101276,221686
1101276,194156
1101276,416926
1101276,41827
1101276,259855
264827,481349
264827,231158
264827,152001
264827,121113
264827,327851
264827,433503
264827,364257
264827,361751
264827,419840
264827,104075
342285,96067
342285,53862
342285,429524
342285,111155
342285,276029
342285,262956
342285,290322
342285,226247
342285,13439
342285,173228
372586,198978
372586,200054
372586,299302
372586,66462
372586,501218
372586,370899
372586,399129
372586,349485
372586,100705
372586,207635
89786,180398
89786,434669
89786,429743
89786,423341
89786,391739
89786,406842
89786,464090
89786,84825
89786,436419
89786,41015
118448,8051
118448,55810
118448,372891
118448,187755
118448,272792
118448,171345
118448,151811
118448,178305
118448,468475
118448,337658
92542,258556
92542,471092
92542,272542
92542,128121
92542,201508
92542,355740
92542,462123
92542,359649
92542,333359
92542,286123
206117,17282
206117,409085
206117,380610
206117,37102
206117,465662
206117,386530
206117,101508
206117,78904
206117,460861
206117,497781
141472,464688
141472,266847
141472,332240
141472,412505
141472,432268
141472,2551
141472,105840
141472,267592
141472,75015
141472,372842
196232,489705
196232,25992
196232,112543
196232,141048
196232,150110
196232,331382
196232,86871
196232,56788
196232,201095
196232,364909
352818,380682
352818,70842
352818,173978
352818,374366
352818,285375
352818,306965
352818,487604
352818,344523
352818,291655
352818,278637
208145,381730
208145,79640
208145,273379
208145,432399
208145,119655
208145,190528
208145,221409
208145,266092
208145,350014
208145,164759
79891,214001
79891,411511
79891,127467
79891,394547
79891,36443
79891,3311
79891,282426
79891,236695
79891,312369
79891,433287
208494,462095
208494,118460
208494,245589
208494,204854
208494,26661
208494,305254
208494,464231
208494,331382
208494,56105
208494,460890
319564,77011
319564,23699
319564,27185
319564,5385
319564,488627
319564,260448
319564,427819
319564,236954
319564,65249
319564,256255
155234,320321
155234,344296
155234,136072
155234,254685
155234,38835
155234,465870
155234,33168
155234,363184
155234,216781
155234,384105
14151,62185
14151,53011
14151,473046
14151,240617
14151,77460
14151,356500
14151,239873
14151,203672
14151,305035
14151,312810
67802,170424
67802,259026
67802,472982
67802,154283
67802,42861
67802,446429
67802,315525
67802,2086
67802,124094
67802,22324
1090184,246242
1090184,305922
1090184,282449
1090184,262063
1090184,386484
1090184,451457
1090184,12726
1090184,43700
1090184,47800
1090184,166536
323382,154418
323382,455907
323382,287871
323382,52023
323382,337105
323382,107273
323382,193077
323382,477254
323382,221411
323382,397694
323998,380682
323998,40135
323998,299213
323998,277045
323998,342522
323998,264540
323998,352552
323998,469142
323998,279594
323998,285375
289812,35201
289812,442905
289812,288332
289812,459077
289812,85117
289812,484603
289812,12966
289812,384605
289812,125135
289812,382034
333486,118460
333486,260759
333486,2416
333486,322334
333486,260215
333486,227033
333486,410892
333486,300181
333486,404082
333486,212102
1090171,190589
1090171,457369
1090171,171421
1090171,337737
1090171,193548
1090171,478788
1090171,367678
1090171,437190
1090171,387105
1090171,477549
73257,437940
73257,122721
73257,81796
73257,115560
73257,427798
73257,466330
73257,244344
73257,25515
73257,484031
73257,171465
1090170,190589
1090170,457369
1090170,171421
1090170,337737
1090170,193548
1090170,367678
1090170,437190
1090170,387105
1090170,477549
1090170,238157
127876,120478
127876,246640
127876,37020
127876,96508
127876,190067
127876,28518
127876,453931
127876,15625
127876,451518
127876,32598
1090165,85146
1090165,444610
1090165,72512
1090165,175906
1090165,388993
1090165,370593
1090165,194790
1090165,192265
1090165,288939
1090165,147043
259417,489038
259417,192143
259417,47663
259417,57220
259417,86317
259417,206921
259417,364016
259417,146205
259417,281948
259417,430477
1101271,56554
1101271,363257
1101271,482220
1101271,198312
1101271,174556
1101271,291475
1101271,409023
1101271,278831
1101271,278980
1101271,361465
205107,253959
205107,470299
205107,383591
205107,26646
205107,98823
205107,35351
205107,358662
205107,338051
205107,276870
205107,457336
307118,22189
307118,218741
307118,314592
307118,98772
307118,141747
307118,395879
307118,406921
307118,256314
307118,366150
307118,17527
335710,12012
335710,280258
335710,251609
335710,226570
335710,397028
335710,342402
335710,273695
335710,336816
335710,360043
335710,133667
127984,467399
127984,85633
127984,330258
127984,128816
127984,294703
127984,29238
127984,124018
127984,312344
127984,248685
127984,160980
1090151,111423
1090151,134711
1090151,250625
1090151,319954
1090151,482903
1090151,361035
1090151,425607
1090151,123890
1090151,29647
1090151,344819
1090146,339023
1090146,245571
1090146,253361
1090146,356852
1090146,278596
1090146,190312
1090146,483430
1090146,187694
1090146,41290
1090146,117125
1090132,284870
1090132,228907
1090132,199624
1090132,354463
1090132,256771
1090132,258976
1090132,282051
1090132,6396
